 #dt   t[ps]   msd [nm^2/ps]   D    sum_D
          92  0.184000015      0.198736891      0.180015281       0.00000000    
          93  0.186000004      0.199867859      0.179093048       0.00000000    
          94  0.188000008      0.200994834      0.178186908       0.00000000    
          95  0.190000013      0.202122778      0.177300662       0.00000000    
          96  0.192000002      0.203195050      0.176384598       0.00000000    
          97  0.194000006      0.204269707      0.175489441       0.00000000    
          98  0.196000010      0.205340847      0.174609542       0.00000000    
          99  0.198000014      0.206414580      0.173749641       0.00000000    
         100  0.200000003      0.207490161      0.172908455       0.00000000    
         101  0.202000007      0.208528996      0.172053620       0.00000000    
         102  0.204000011      0.209567845      0.171215549       0.00000000    
         103  0.206000015      0.210609987      0.170396417       0.00000000    
         104  0.208000004      0.211652786      0.169593573       0.00000000    
         105  0.210000008      0.212695524      0.168805972       0.00000000    
         106  0.212000012      0.213694751      0.167999014       0.00000000    
         107  0.214000016      0.214697510      0.167209879       0.00000000    
         108  0.216000006      0.215702474      0.166437089       0.00000000    
         109  0.218000010      0.216707796      0.165678725       0.00000000    
         110  0.220000014      0.217708632      0.164930776       0.00000000    
         111  0.222000018      0.218666986      0.164164394       0.00000000    
         112  0.224000007      0.219623074      0.163410008       0.00000000    
         113  0.226000011      0.220580965      0.162670314       0.00000000    
         114  0.228000015      0.221539631      0.161944166       0.00000000    
         115  0.230000004      0.222496673      0.161229476       0.00000000    
         116  0.232000008      0.223429307      0.160509557       0.00000000    
         117  0.234000012      0.224364251      0.159803599       0.00000000    
         118  0.236000016      0.225297481      0.159108371       0.00000000    
         119  0.238000005      0.226233602      0.158426896       0.00000000    
         120  0.240000010      0.227167815      0.157755420       0.00000000    
         121  0.242000014      0.228067309      0.157071128       0.00000000    
         122  0.244000018      0.228971183      0.156401068       0.00000000    
         123  0.246000007      0.229875937      0.155742496       0.00000000    
         124  0.248000011      0.230774045      0.155090079       0.00000000    
         125  0.250000000      0.231676742      0.154451162       0.00000000    
         126  0.252000004      0.232558623      0.153808609       0.00000000    
         127  0.254000008      0.233442456      0.153177455       0.00000000    
         128  0.256000012      0.234324455      0.152554989       0.00000000    
         129  0.258000016      0.235207900      0.151943073       0.00000000    
         130  0.260000020      0.236089975      0.151339710       0.00000000    
         131  0.262000024      0.236909851      0.150705993       0.00000000    
         132  0.263999999      0.237730220      0.150082216       0.00000000    
         133  0.266000003      0.238555506      0.149470866       0.00000000    
         134  0.268000007      0.239384800      0.148871139       0.00000000    
         135  0.270000011      0.240210131      0.148277849       0.00000000    
         136  0.272000015      0.241002694      0.147673205       0.00000000    
         137  0.274000019      0.241796553      0.147078186       0.00000000    
         138  0.276000023      0.242584676      0.146488324       0.00000000    
         139  0.278000027      0.243370101      0.145905316       0.00000000    
         140  0.280000001      0.244162202      0.145334631       0.00000000    
         141  0.282000005      0.244923294      0.144753724       0.00000000    
         142  0.284000009      0.245685652      0.144181728       0.00000000    
         143  0.286000013      0.246447250      0.143617272       0.00000000    
         144  0.288000017      0.247214749      0.143064082       0.00000000    
         145  0.290000021      0.247976437      0.142515182       0.00000000    
         146  0.292000026      0.248750508      0.141980872       0.00000000    
         147  0.294000000      0.249523446      0.141453207       0.00000000    
         148  0.296000004      0.250299990      0.140934676       0.00000000    
         149  0.298000008      0.251076043      0.140422836       0.00000000    
         150  0.300000012      0.251857787      0.139920995       0.00000000    
         151  0.302000016      0.252575874      0.139390662       0.00000000    
         152  0.304000020      0.253293604      0.138867095       0.00000000    
         153  0.306000024      0.253997415      0.138342798       0.00000000    
         154  0.308000028      0.254660845      0.137803480       0.00000000    
         155  0.310000002      0.255335718      0.137277260       0.00000000    
         156  0.312000006      0.255982667      0.136742875       0.00000000    
         157  0.314000010      0.256634116      0.136217684       0.00000000    
         158  0.316000015      0.257272452      0.135692209       0.00000000    
         159  0.318000019      0.257920295      0.135178342       0.00000000    
         160  0.320000023      0.258570105      0.134671926       0.00000000    
         161  0.322000027      0.259197295      0.134160087       0.00000000    
         162  0.324000001      0.259826064      0.133655384       0.00000000    
         163  0.326000005      0.260460407      0.133159712       0.00000000    
         164  0.328000009      0.261089236      0.132667288       0.00000000    
         165  0.330000013      0.261720926      0.132182285       0.00000000    
         166  0.332000017      0.262339532      0.131696552       0.00000000    
         167  0.334000021      0.262953162      0.131214142       0.00000000    
         168  0.336000025      0.263571531      0.130739823       0.00000000    
         169  0.338000029      0.264192045      0.130272210       0.00000000    
         170  0.340000004      0.264807016      0.129807368       0.00000000    
         171  0.342000008      0.265401512      0.129337966       0.00000000    
         172  0.344000012      0.265994251      0.128873169       0.00000000    
         173  0.346000016      0.266589016      0.128414735       0.00000000    
         174  0.348000020      0.267192781      0.127965882       0.00000000    
         175  0.350000024      0.267793000      0.127520472       0.00000000    
         176  0.352000028      0.268367767      0.127068058       0.00000000    
         177  0.354000002      0.268942237      0.126620635       0.00000000    
         178  0.356000006      0.269529611      0.126184270       0.00000000    
         179  0.358000010      0.270110637      0.125749826       0.00000000    
         180  0.360000014      0.270690024      0.125319451       0.00000000    
         181  0.362000018      0.271241724      0.124881081       0.00000000    
         182  0.364000022      0.271798491      0.124449857       0.00000000    
         183  0.366000026      0.272362679      0.124026716       0.00000000    
         184  0.368000031      0.272918403      0.123604342       0.00000000    
         185  0.370000005      0.273464859      0.123182364       0.00000000    
         186  0.372000009      0.274013460      0.122765884       0.00000000    
         187  0.374000013      0.274564028      0.122354738       0.00000000    
         188  0.376000017      0.275124103      0.121952169       0.00000000    
         189  0.378000021      0.275681049      0.121552482       0.00000000    
         190  0.380000025      0.276240617      0.121158153       0.00000000    
         191  0.382000029      0.276777297      0.120757967       0.00000000    
         192  0.384000003      0.277309895      0.120360203       0.00000000    
         193  0.386000007      0.277853251      0.119971178       0.00000000    
         194  0.388000011      0.278392732      0.119584501       0.00000000    
         195  0.390000015      0.278940797      0.119205460       0.00000000    
         196  0.392000020      0.279479206      0.118826181       0.00000000    
         197  0.394000024      0.280013531      0.118449040       0.00000000    
         198  0.396000028      0.280550271      0.118076704       0.00000000    
         199  0.398000032      0.281084061      0.117706880       0.00000000    
         200  0.400000006      0.281622976      0.117342904       0.00000000    
         201  0.402000010      0.282139540      0.116973266       0.00000000    
         202  0.404000014      0.282656431      0.116607435       0.00000000    
         203  0.406000018      0.283163965      0.116241358       0.00000000    
         204  0.408000022      0.283673912      0.115879856       0.00000000    
         205  0.410000026      0.284184128      0.115522005       0.00000000    
         206  0.412000030      0.284665376      0.115155891       0.00000000    
         207  0.414000034      0.285142362      0.114791602       0.00000000    
         208  0.416000009      0.285628349      0.114434429       0.00000000    
         209  0.418000013      0.286109358      0.114078686       0.00000000    
         210  0.420000017      0.286599189      0.113729835       0.00000000    
         211  0.422000021      0.287093580      0.113386087       0.00000000    
         212  0.424000025      0.287582606      0.113043472       0.00000000    
         213  0.426000029      0.288070679      0.112703696       0.00000000    
         214  0.428000033      0.288559526      0.112367406       0.00000000    
         215  0.430000007      0.289051235      0.112035364       0.00000000    
         216  0.432000011      0.289551556      0.111709706       0.00000000    
         217  0.434000015      0.290054053      0.111387879       0.00000000    
         218  0.436000019      0.290557295      0.111069292       0.00000000    
         219  0.438000023      0.291061640      0.110754035       0.00000000    
         220  0.440000027      0.291562289      0.110440254       0.00000000    
         221  0.442000031      0.292059839      0.110128134       0.00000000    
         222  0.444000036      0.292560846      0.109820127       0.00000000    
         223  0.446000010      0.293065250      0.109516159       0.00000000    
         224  0.448000014      0.293566078      0.109213561       0.00000000    
         225  0.450000018      0.294067591      0.108913921       0.00000000    
         226  0.452000022      0.294534355      0.108604111       0.00000000    
         227  0.454000026      0.294997156      0.108295567       0.00000000    
         228  0.456000030      0.295458853      0.107989341       0.00000000    
         229  0.458000034      0.295921117      0.107685991       0.00000000    
         230  0.460000008      0.296379954      0.107384041       0.00000000    
         231  0.462000012      0.296826929      0.107080422       0.00000000    
         232  0.464000016      0.297277331      0.106780648       0.00000000    
         233  0.466000021      0.297728777      0.106483825       0.00000000    
         234  0.468000025      0.298182815      0.106190458       0.00000000    
         235  0.470000029      0.298641831      0.105901353       0.00000000    
         236  0.472000033      0.299094290      0.105612382       0.00000000    
         237  0.474000037      0.299550205      0.105327062       0.00000000    
         238  0.476000011      0.300003111      0.105043106       0.00000000    
         239  0.478000015      0.300451934      0.104760088       0.00000000    
         240  0.480000019      0.300900370      0.104479291       0.00000000    
         241  0.482000023      0.301339418      0.104197577       0.00000000    
         242  0.484000027      0.301775873      0.103917301       0.00000000    
         243  0.486000031      0.302217036      0.103640951       0.00000000    
         244  0.488000035      0.302665025      0.103369199       0.00000000    
         245  0.490000010      0.303101212      0.103095651       0.00000000    
         246  0.492000014      0.303548634      0.102828123       0.00000000    
         247  0.494000018      0.303990245      0.102560803       0.00000000    
         248  0.496000022      0.304431349      0.102295481       0.00000000    
         249  0.498000026      0.304873943      0.102032773       0.00000000    
         250  0.500000000      0.305318922      0.101772971       0.00000000    
         251  0.502000034      0.305744618      0.101508833       0.00000000    
         252  0.504000008      0.306179434      0.101249807       0.00000000    
         253  0.506000042      0.306610048      0.100991443       0.00000000    
         254  0.508000016      0.307045311      0.100736648       0.00000000    
         255  0.510000050      0.307478935      0.100483298       0.00000000    
         256  0.512000024      0.307896465      0.100226715       0.00000000    
         257  0.513999999      0.308312029       9.99714732E-02   0.00000000    
         258  0.516000032      0.308731198       9.97193754E-02   0.00000000    
         259  0.518000007      0.309149563       9.94689688E-02   0.00000000    
         260  0.520000041      0.309564441       9.92193595E-02   0.00000000    
         261  0.522000015      0.309966385       9.89675596E-02   0.00000000    
         262  0.524000049      0.310365170       9.87166464E-02   0.00000000    
         263  0.526000023      0.310760528       9.84665751E-02   0.00000000    
         264  0.527999997      0.311163068       9.82206687E-02   0.00000000    
         265  0.530000031      0.311557949       9.79741886E-02   0.00000000    
         266  0.532000005      0.311948866       9.77283418E-02   0.00000000    
         267  0.534000039      0.312344015       9.74856392E-02   0.00000000    
         268  0.536000013      0.312737942       9.72443819E-02   0.00000000    
         269  0.538000047      0.313131839       9.70049053E-02   0.00000000    
         270  0.540000021      0.313523173       9.67664048E-02   0.00000000    
         271  0.542000055      0.313946754       9.65395793E-02   0.00000000    
         272  0.544000030      0.314375222       9.63159353E-02   0.00000000    
         273  0.546000004      0.314798146       9.60922316E-02   0.00000000    
         274  0.548000038      0.315220833       9.58700776E-02   0.00000000    
         275  0.550000012      0.315643728       9.56496075E-02   0.00000000    
         276  0.552000046      0.316057593       9.54280123E-02   0.00000000    
         277  0.554000020      0.316468924       9.52072516E-02   0.00000000    
         278  0.556000054      0.316874027       9.49862078E-02   0.00000000    
         279  0.558000028      0.317280591       9.47671980E-02   0.00000000    
         280  0.560000002      0.317693710       9.45516974E-02   0.00000000    
         281  0.562000036      0.318088919       9.43324119E-02   0.00000000    
         282  0.564000010      0.318486303       9.41153392E-02   0.00000000    
         283  0.566000044      0.318878502       9.38982517E-02   0.00000000    
         284  0.568000019      0.319264680       9.36809480E-02   0.00000000    
         285  0.570000052      0.319647491       9.34641734E-02   0.00000000    
         286  0.572000027      0.320033580       9.32498723E-02   0.00000000    
         287  0.574000001      0.320420980       9.30374488E-02   0.00000000    
         288  0.576000035      0.320806205       9.28258598E-02   0.00000000    
         289  0.578000009      0.321194291       9.26165804E-02   0.00000000    
         290  0.580000043      0.321581960       9.24086049E-02   0.00000000    
         291  0.582000017      0.321976244       9.22039598E-02   0.00000000    
         292  0.584000051      0.322370261       9.20006409E-02   0.00000000    
         293  0.586000025      0.322761148       9.17978138E-02   0.00000000    
         294  0.588000000      0.323148996       9.15955231E-02   0.00000000    
         295  0.590000033      0.323539883       9.13954452E-02   0.00000000    
         296  0.592000008      0.323936373       9.11983028E-02   0.00000000    
         297  0.594000041      0.324333072       9.10025388E-02   0.00000000    
         298  0.596000016      0.324727803       9.08075422E-02   0.00000000    
         299  0.598000050      0.325124055       9.06142741E-02   0.00000000    
         300  0.600000024      0.325518906       9.04219151E-02   0.00000000    
         301  0.602000058      0.325908214       9.02292803E-02   0.00000000    
         302  0.604000032      0.326301157       9.00389478E-02   0.00000000    
         303  0.606000006      0.326688409       8.98482949E-02   0.00000000    
         304  0.608000040      0.327074647       8.96586180E-02   0.00000000    
         305  0.610000014      0.327457935       8.94693807E-02   0.00000000    
         306  0.612000048      0.327851593       8.92841965E-02   0.00000000    
         307  0.614000022      0.328248411       8.91010910E-02   0.00000000    
         308  0.616000056      0.328641862       8.89182463E-02   0.00000000    
         309  0.618000031      0.329038918       8.87375697E-02   0.00000000    
         310  0.620000005      0.329444468       8.85603428E-02   0.00000000    
